coordinate_id,source,longitude,latitude,year,presence_type,georef_method,source_detail,location_name,state,locality,case_count,reference,notes
84,Mohammed_et_al_2018,26.2503,15.228,2016,facility_report,geocoded_name,,Al-Malha,,,,10.1186/s13071-018-2746-3,Using town coords for hospital
85,Mansour_et_al_2007,35.74103895,13.511581,2006,facility_report,geocoded_name,,Doka Hospital,Gedaref,Al Galabat,,10.1128/CVI.00313-07,
86,radio_dabanga_pr_2013,25.3101764,13.48865821,2013,vl_case,geocoded_name,,Zam Zam Refugee Camp,North Darfur,Al Fasher,2000,https://reliefweb.int/report/sudan/2000-infected-kala-azar-north-darfur,High confidence
87,Hamid_et_al_2025,24.87728825,12.05706289,2022,facility_report,geocoded_name,,Nyala Teaching Hospital,South Darfur,,,https://hal.science/hal-05431899,
88,Mohamed_et_al_2019,35.12329,14.05328,2014,vl_case,published_coord,,Abukishma,Gedaref,,,10.1186/s13104-019-4608-2,
89,Mohamed_et_al_2019,35.00059,14.01715,2014,vl_case,published_coord,,Tirfa,Gedaref,,,10.1186/s13104-019-4608-2,
90,Mohamed_et_al_2019,35.00466,14.02141,2014,vl_case,published_coord,,Algadamblia Aljabal,Gedaref,,,10.1186/s13104-019-4608-2,
91,Mohamed_et_al_2019,35.30479,13.9785,2014,vl_case,published_coord,,Abualnaja,Gedaref,,,10.1186/s13104-019-4608-2,
92,radio_dabanga_pr_2015,25.3101764,13.48865821,2015,vl_case,geocoded_name,,Zam Zam Refugee Camp,North Darfur,,,https://reliefweb.int/report/sudan/kala-azar-rise-among-north-darfur-displaced,
93,sudan_tribune_293846_2024,34.93114201,13.62225011,2024,vl_case,polygon_centroid,,Qala en Nahl,Gedaref,,,https://sudantribune.com/article/293846,
94,radio_dabanga_pr_2014,30.7903815,12.14403013,2014,vl_case,polygon_centroid,,Abu Karshola,South Kordofan,,,https://reliefweb.int/report/sudan/outbreak-kala-azar-sudan-s-south-kordofan,
95,Widaa_et_al_2012,32.5,13.4,2011,vector_pos,published_coord,,Kadaba,White Nile,,,10.1590/s0074-02762012000400005,
96,Sharief_et_al_2019,27.72992493,11.03020054,2003,vl_case,published_coord,,Muglad and Babnousa,South Kordofan,,,https://www.biolscigroup.us/abstracts/ASB-2-103,Guessing between 2004-2007
97,Hassan_et_al_2009,35.14426792,12.89855849,2002,vector_pos,geocoded_name,,Um Kura'a,,,,10.1186/1756-3305-2-26,Used one of cluster of village
98,elnaiem_et_al_2003_fig1,35.46397,13.85924,2001,vl_case,digitized_map,,,,,,10.26719/2003.9.4.827,
99,elnaiem_et_al_2003_fig1,35.39755,13.85632,2001,vl_case,digitized_map,,,,,,10.26719/2003.9.4.827,
100,elnaiem_et_al_2003_fig1,35.44335,13.79193,2001,vl_case,digitized_map,,,,,,10.26719/2003.9.4.827,
101,elnaiem_et_al_2003_fig1,35.81898,13.7217,2001,vl_case,digitized_map,,,,,,10.26719/2003.9.4.827,
102,elnaiem_et_al_2003_fig1,35.92892,13.58708,2001,vl_case,digitized_map,,,,,,10.26719/2003.9.4.827,
103,elnaiem_et_al_2003_fig1,36.10527,13.50514,2001,vl_case,digitized_map,,,,,,10.26719/2003.9.4.827,
104,elnaiem_et_al_2003_fig1,36.1465,13.53441,2001,vl_case,digitized_map,,,,,,10.26719/2003.9.4.827,
105,elnaiem_et_al_2003_fig1,35.05857,12.98131,2001,vl_case,digitized_map,,,,,,10.26719/2003.9.4.827,
106,elnaiem_et_al_2003_fig1,34.99215,13.03106,2001,vl_case,digitized_map,,,,,,10.26719/2003.9.4.827,
107,elnaiem_et_al_2003_fig1,34.95321,13.07496,2001,vl_case,digitized_map,,,,,,10.26719/2003.9.4.827,
108,elnaiem_et_al_2003_fig1,35.22348,12.8145,2001,vl_case,digitized_map,,,,,,10.26719/2003.9.4.827,
109,gerstl_et_al_2006_fig1,35.9508,12.87508,2003,vl_case,digitized_map,,,,,,10.1111/j.1365-3156.2005.01550.x,
110,gerstl_et_al_2006_fig1,35.94256,13.16219,2004,vl_case,digitized_map,,,,,,10.1111/j.1365-3156.2005.01550.x,
